name,params,Error,P-Value
ksone,"(1.0057279503524346, 56.99999488686578, 25649.468056197988)",7697762072.770602,0.0
kstwobign,"(-2726.0581129219827, 4332.112142774353)",7697761372.0794325,0.0
anglit,"(6230.858746326327, 24805.763115224858)",7697762075.3975725,0.0
arcsine,"(56.99999999999999, 25653.239939677784)",8224861390.198105,0.0
bradford,"(2.558696324357813, 56.99998617382498, 25642.0001450201)",7697761993.333969,0.0
cosine,"(4205.109994138677, 6851.158358923204)",7697762057.565517,0.0
exponpow,"(0.37190545782936413, 56.999999999999986, 4451.7342186516125)",66368487973471.766,0.0
foldnorm,"(0.07012083355028187, 56.999999999999645, 2025.623741479173)",7697761343.0761175,0.0
weibull_max,"(0.08292465808561654, 25699.000000000007, 1.7506838576761274)",7697762164.96797,0.0
gamma,"(0.0006832103644007043, 56.999999999999986, 5.273034646187521)",2.2095442304505432e+21,0.0
genhyperbolic,"(1.0146565164274, 1.0024793006137798, 1.0009454299534761, 9.231344226050975e-06, 1.0214167689881362)",7697760983.47376,0.0
gumbel_l,"(2113.948312754674, 5177.130191641683)",7697761994.395237,0.0
halfnorm,"(56.99999907383716, 2041.3748176817348)",7697761346.257052,0.0
invweibull,"(0.27967626915707733, 56.99149944551776, 2.5322972829141692)",7697759866.428978,0.0
levy_l,"(26119.560458571934, 24098.299402546858)",7697762142.986642,0.0
maxwell,"(-2402.475146405646, 2099.144116045378)",7697761535.705004,0.0
kappa4,"(1.369542457514255, 0.08892967864962995, -1967.311828266253, 6527.5104891640985)",7697758863.984727,0.0
powerlaw,"(0.21254103526786616, 56.99999999999999, 32073.962121248624)",1.0519255392185336e+19,0.0
powernorm,"(1.3318001592287158e-05, -1508.0333236744964, 7.528024109031133)",0.0,0.0
rayleigh,"(-1506.9749972705465, 2061.9728180325037)",7697761504.686357,0.0
loguniform,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)",7697762167.0,0.0
reciprocal,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)",7697762167.0,0.0
rice,"(0.00017425477483788584, -1506.974966736776, 2061.9728260792226)",7697761504.6863575,0.0
semicircular,"(8914.343159112443, 16791.64003665436)",7697762083.716113,0.0
skewnorm,"(79035737.60901555, 56.99987090501685, 2028.2959516775127)",7697761342.391451,0.0
trapezoid,"(1.0, 1.0, -2632.5600000000004, 30770.4)",7697762147.891836,0.0
trapz,"(1.0, 1.0, -2632.5600000000004, 30770.4)",7697762147.891836,0.0
triang,"(0.0006578809408641802, 42.05595146443292, 25673.880731885263)",7697761985.306954,0.0
truncexpon,"(1.456648830849617, -2076.4554746474305, 19068.051878012047)",7697762021.812207,0.0
truncnorm,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)",7697762167.0,0.0
uniform,"(57.0, 25642.0)",7697762072.743158,0.0
vonmises,"(1.6209858439423015, 754.9224847860607, 4.247139249831301e-27)",4.932396456948618e+54,0.0
wrapcauchy,"(0.919443511911826, 49.55300202480525, 4082.236293084069)",7697761606.7324295,0.0
crystalball,"(4.852911100727061, 3.1891436524946783, -7.96029631167081, 2047.822097472851)",7697761748.576953,0.0
argus,"(0.08427256915792444, -18677.4402556364, 44383.26020951278)",7697762100.104436,0.0
gausshyper,"(0.29808551462856603, 2.2448980431998535, 1.0429542424596236, 1.6009189915724726, 56.99999999999999, 27914.394357570258)",3.4805500015583044e+16,3.57856056904486e-308
loggamma,"(1479.6023376383137, -585166.983551418, 80261.07547876888)",7697761711.335737,5.4881427847676023e-300
rdist,"(718659.2061789182, 678.5149493328486, 1637994.7085570847)",7697761679.283633,5.150636170795253e-294
norm,"(678.3030467899891, 1930.8090725798777)",7697761678.978722,6.627488270303692e-294
ncx2,"(1.0350331865819902, 2.657628350423034e-10, 55.51623132230333, 1326.1337389772052)",7697761203.999806,5.635691076649722e-277
chi2,"(0.8258151924792196, 56.999999999999986, 1944.8679979636904)",4280675324200.3604,1.2917179133769759e-269
chi,"(0.37548521530185786, 56.999999999999986, 3242.8347343639143)",58387783826155.37,1.686215358878334e-260
