name,params,Error,P-Value
ksone,"(1.0000000053630835, 4.999592550138213, 15760.382572419167)",867850296.3197849,0.0
kstwobign,"(-109.4468879249544, 230.94021549724266)",867850199.3060001,0.0
norm,"(88.98582657671598, 99.93024358947264)",867850271.2202063,0.0
alpha,"(0.14484036382359433, -6.943819357910666, 51.87367219933873)",867850196.3789786,0.0
anglit,"(812.8894572105836, 3173.1383866322058)",867850352.4292105,0.0
arcsine,"(4.999999999999999, 16197.056533566269)",7878893008.746172,0.0
beta,"(32.50824179262939, 3194.658908141919, -255.40164706635494, 34433.92454362204)",867850212.6849165,0.0
bradford,"(145.89095587428605, 4.999999999999053, 61782.142254502585)",867850312.3124886,0.0
cauchy,"(64.45038977558576, 34.25762691657926)",867850240.2955511,0.0
chi,"(0.8456074242542528, 4.999999999999999, 139.61294518338448)",867849326.6196014,0.0
chi2,"(0.21382185992361008, 4.999999999999999, 3.8614612356287106)",6.290855106426517e+24,0.0
cosine,"(552.5339081297474, 876.1795639161699)",867850362.2167187,0.0
dgamma,"(1.3072542780928724, 70.53507891745056, 38.312408402612036)",867850226.5936553,0.0
dweibull,"(1.0923603169836156, 73.49322181197394, 51.871906307056946)",867850225.0526458,0.0
expon,"(5.0, 83.98582657671598)",867850181.5367987,0.0
exponpow,"(0.46241691248923833, 4.999999999999999, 192.6435126904339)",25112770729140.023,0.0
weibull_max,"(0.08878278914023703, 15277.000000000002, 1.7425535940020618)",1.4945767228582078e+19,0.0
genlogistic,"(1169.4049840154785, -260.91275890987504, 45.454548402411035)",867850196.1863465,0.0
genpareto,"(0.03697155134215505, 4.999999999984561, 84.27815731050237)",867850183.4842173,0.0
gamma,"(6.548220351992062e-05, 4.999999999999999, 4.010706840806593)",5.410392231047124e+21,0.0
genhalflogistic,"(0.04302245991328282, -111.21582356607917, 662.109173072146)",867850310.2777135,0.0
genhyperbolic,"(0.4461955766682264, 26.54344873837036, 26.511544888414086, -0.4959983631076338, 2.5445841216062046)",867850187.7948518,0.0
gompertz,"(0.0001406967195563077, 4.999999992909437, 776.8184389107007)",867850311.6732538,0.0
gumbel_r,"(60.19673647788381, 45.462109266975055)",867850196.1595027,0.0
gumbel_l,"(301.0417935724333, 1737.5502783014888)",867850421.1041405,0.0
halfcauchy,"(4.999999999062447, 62.378637218470686)",867850194.5877534,0.0
halfnorm,"(4.999999739934395, 130.1148152060826)",867850202.1670156,0.0
hypsecant,"(76.49530722976053, 42.5172445356602)",867850222.9206274,0.0
gausshyper,"(0.2247328814012482, 2.192962179807866, 1.0675225702621838, 1.6168153016476507, 4.999999999999999, 20154.26080949942)",2.519864962257934e+20,0.0
norminvgauss,"(187.9453361893099, 187.94101318394885, -0.40318266734784314, 0.6065618644357236)",867850187.6155266,0.0
invweibull,"(0.4199529784635395, 4.992941675598795, 2.5503773517135144)",867850218.5279205,0.0
laplace,"(74.0, 49.99822574322791)",867850224.826957,0.0
levy,"(4.650374008799188, 40.49181071838858)",867850219.8660958,0.0
levy_l,"(15325.466682558352, 15138.567304069973)",867850449.1801803,0.0
logistic,"(80.09811350988794, 35.6795201289704)",867850221.7590454,0.0
loggamma,"(3437.578553337834, -72577.86475214607, 8925.487690503527)",867850316.7207743,0.0
loglaplace,"(1.5585846868742703, -0.20830123005769546, 74.20833151233364)",867850192.1621717,0.0
lognorm,"(3.8727282618729935, 4.999998970301478, 3.3626494572524477)",867832210.8785422,0.0
maxwell,"(-84.88867127446812, 115.78483962803162)",867850234.391188,0.0
kappa4,"(0.9835728016573189, -0.017183599852850957, 6.3443729236344035, 81.93517048293361)",867850181.9138402,0.0
nakagami,"(0.42111716533161747, 4.999999999999999, 133.73383752451667)",867849243.5620251,0.0
ncx2,"(1.0481319423467103e-10, 14.315212502351516, -1.278216921226367, 6.260724851439731)",867850189.3463578,0.0
ncf,"(0.07488603661963206, 14.683809701573699, 2.4674223593574403, -0.036291693579325816, 1.8111392994986713)",867850175.8532546,0.0
t,"(4.594225038721564, 77.2651279533813, 50.212093181925816)",867850219.302213,0.0
