name,params,Error,P-Value
ksone,"(1.0000005951708213, -131.41687961779792, 8421.416949751707)",11898712666.435673,0.0
anglit,"(1960.3944841049447, 3561.350700423124)",11898712589.849096,0.0
arcsine,"(631.8772273318241, 7658.122772668177)",11898712923.67036,0.0
bradford,"(10.11085928717029, 631.9999982774531, 7658.000056458388)",11898712588.058327,0.0
burr12,"(275.3983740736936, 0.0060357865493532396, -1.4507960995453957, 629.9785343425834)",11898712728.88163,0.0
cosine,"(2196.856282053787, 1940.0928207023762)",11898712848.786171,0.0
expon,"(632.0, 551.1578880407126)",11898712702.251442,0.0
exponpow,"(1.3053444453258112, -161.49918117920168, 3.902134995832234e-30)",11898714875.0,0.0
foldnorm,"(1.3053444453258112, -161.49918117920168, 3.902134995832234e-30)",11898714875.0,0.0
weibull_min,"(0.2017071278294309, 631.9999999999999, 9.224949510645676)",7.68195016767483e+18,0.0
weibull_max,"(0.10185791454357514, 8290.000000000002, 1.7248368875595883)",11898714701.59371,0.0
genpareto,"(0.22020007637414885, 631.3159533835842, 498.3972641227617)",11898712699.712547,0.0
genexpon,"(0.0061362668509066425, 3.762629465264061e-05, 12.45953226149827, 631.999997070267, 3.402292420513722)",11898712702.287567,0.0
gamma,"(0.03853101082855291, 631.9999999999999, 11.600024172926176)",9.975501905264548e+21,0.0
gengamma,"(0.010054000850851896, -504026.7352453567, -2684114.756579186, 2684765.388159997)",11898712707.92952,0.0
genhalflogistic,"(0.01056602222257497, 396.05230402058237, 966.2679865875011)",11898712570.67501,0.0
genhyperbolic,"(16.838785515504902, 36.19648950242285, 36.01658581862087, -0.4276059520888531, 12.526390579401133)",11898712675.409756,0.0
gompertz,"(1.3053444453258112, -161.49918117920168, 3.902134995832234e-30)",11898714875.0,0.0
gumbel_l,"(1403.8150391258282, 1043.5129073625142)",11898713119.47497,0.0
halflogistic,"(631.9999999762522, 372.15955032090733)",11898712703.478613,0.0
gausshyper,"(6.231907572625961, 32.61152605353119, 10.01314818661753, 3.083217844829095, -241.39555975904383, 15110.767107506143)",11898632581.392437,0.0
norminvgauss,"(327.5720144236981, 327.0785719610957, -1.1277658020999242, 65.07487652830534)",11898712677.334618,0.0
levy,"(626.9705889377294, 407.638317436936)",11898713048.002499,0.0
levy_l,"(8345.688937191913, 7028.5486091306675)",11898714015.842657,0.0
lognorm,"(3.562712134554971, 631.9999620067488, 12.546004502215014)",11898701485.189358,0.0
kappa4,"(1.7474371097967807, 0.14359153419478482, -114.75705024368222, 1392.244209091662)",11900672989.349401,0.0
kappa3,"(9.80947279529068, 631.951598010442, 1266.7747198616944)",11898712638.011631,0.0
ncx2,"(0.00023674140822699182, 0.34634323604533435, 631.9999999999999, 6.493973470338151)",7.609975432354755e+17,0.0
pareto,"(1.6736168067552155, -0.061429666916964824, 632.061428933179)",11898712730.220512,0.0
lomax,"(833.4059284562209, 631.9999999991396, 459255.52661918534)",11898712702.155474,0.0
powerlaw,"(0.34805792839737415, 631.9999999999999, 8315.482907344798)",17081305756936.59,0.0
powerlognorm,"(0.856334560222461, 4.703672580694377, 631.9999999965694, 14.062998131244477)",11898060902.775675,0.0
powernorm,"(0.00040765853010553654, 648.1812208689643, 9.040333071787632)",inf,0.0
loguniform,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)",11898714875.0,0.0
reciprocal,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)",11898714875.0,0.0
semicircular,"(2335.0479796815353, 2422.1865010894617)",11898712396.696327,0.0
trapezoid,"(1.0, 1.0, -140.49000000000007, 9189.6)",11898713120.272503,0.0
trapz,"(1.0, 1.0, -140.49000000000007, 9189.6)",11898713120.272503,0.0
triang,"(4.032773502146085e-06, 525.3594692479671, 7764.853952654215)",11898712467.078932,0.0
truncexpon,"(1.2116287682008529, -142.23368352814867, 6959.420166334592)",11898712623.463823,0.0
truncnorm,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)",11898714875.0,0.0
tukeylambda,"(0.1324390390371181, 1753.3029169650085, 865.7138801539234)",11898712703.516827,0.0
uniform,"(632.0, 7658.0)",11898712643.554052,0.0
vonmises,"(1.7965541820195914, 880.9845361875078, 2.049548225621482e-26)",9.632745389275763e+53,0.0
wrapcauchy,"(0.6641299352441131, 631.9999968212381, 1218.8085694970177)",11898713205.701824,0.0
halfgennorm,"(0.33208748369645336, 631.9999999999941, 15.004969136277738)",11898712715.870995,0.0
crystalball,"(228012.41940622032, 47982.54636345445, 1121.8848325785098, 620.8235222458161)",11898712707.355278,0.0
argus,"(4.341274100511912e-13, -284.26658026885764, 8574.698224468464)",11898712566.092148,0.0
halfcauchy,"(631.9999984313874, 469.1054756916204)",11898712758.065643,3.48e-321
halfnorm,"(631.9999992697078, 645.5367413832921)",11898712700.125576,4.33395522984836e-276
gilbrat,"(631.4393560208553, 479.23449365785257)",11898712670.790705,3.2920943138821694e-201
wald,"(622.7916400892341, 735.7337592298506)",11898712661.13102,6.307194645860919e-174
ncf,"(5.507934249819396, 101.43076105847703, 36.75852787889678, -0.11077145773898898, 153.35942505175763)",11898712649.759447,6.123405478910795e-106
loggamma,"(2359.8219479569434, -134365.67388709757, 17454.056051348154)",11898712662.010952,1.025527366039731e-98
cauchy,"(1103.8000627253075, 141.49440235057952)",11898712772.78157,6.725702214477945e-86
rayleigh,"(698.5809824568026, 417.6024415789479)",11898712667.889132,1.6582609137147884e-84
