name,params,Error,P-Value
ksone,"(1.198532781430635, 62.581347261785226, 1806.4186561053343)",654302077.1328385,0.0
anglit,"(587.488946918299, 1631.8591001323157)",654302177.0262992,0.0
arcsine,"(62.99999999999999, 1806.0022863782806)",8497240741.968909,0.0
bradford,"(3.4640265960078658, 62.999998579505636, 1806.000011232638)",654302076.8600719,0.0
chi2,"(0.2129415881630053, 62.999999999999986, 4.526089888737799)",4.390149996054281e+22,0.0
cosine,"(454.602733936219, 450.31169880895584)",654302196.1015866,0.0
expon,"(63.0, 158.3457150437782)",654302085.5577791,0.0
exponpow,"(0.09172506050200936, 62.999999999999986, 4.343385772679748)",9.150635537833859e+22,0.0
fatiguelife,"(6.756944395996541, 62.99410316167183, 2.0594594263468533)",654301100.7990791,0.0
foldnorm,"(1.3053444453258112, -141.94546865974667, 3.902134995832234e-30)",654302686.0,0.0
weibull_min,"(0.21706686522568247, 62.999999999999986, 3.6711691689678125)",1.2896893048257336e+20,0.0
weibull_max,"(0.11727418538536577, 1869.0000000000002, 1.725911391589999)",2.3826847735508507e+20,0.0
genpareto,"(-0.03349060167052243, 62.99999999996821, 161.01938740158937)",654302085.6775596,0.0
genexpon,"(4.880743406543068e-09, 0.01661156400974789, 2.7591850421621924, 62.98595441853625, 2.6149376741941293)",654302087.7114767,0.0
gengamma,"(0.001917344134633816, -16625546282.760197, -5013313491.4749775, 5013313555.381761)",654302087.2862656,0.0
genhyperbolic,"(6.762433873952668, 1.6742449307682241, 1.6742445679722224, -0.025282585623118227, 1.18764296353606e-05)",573291129.9342155,0.0
gompertz,"(6.760548155680418, 586.0070724868538, 9.18093260997325e-22)",654302686.0,0.0
gumbel_l,"(278.36743755256293, 242.1994147245992)",654302226.4747055,0.0
halfcauchy,"(62.99999999994269, 138.31522168710015)",654302093.3390658,0.0
gausshyper,"(0.5913828450450942, 2.611077596461503, 0.9610743609154885, 0.7433001969464443, 62.99999999999999, 1808.1692304782473)",728838339.3952909,0.0
levy,"(61.80706708549133, 106.16040495277915)",654302147.3774397,0.0
levy_l,"(1879.78801189436, 1629.1842527219749)",654302471.1108356,0.0
lognorm,"(3.8216264586325197, 62.99999954390967, 0.9960234786905824)",654234163.9538903,0.0
kappa4,"(1.670145560607494, 0.21056694822575117, -146.02082967965197, 429.9213678597476)",667291120.4343593,0.0
ncx2,"(0.033560386721045894, 1.3069435194876715, 62.99999999999999, 3.303098519135852)",4.83820877108738e+23,0.0
pareto,"(0.8482859431753234, -0.1702703079474649, 63.17027023280714)",654302092.2868681,0.0
lomax,"(43.88385440093704, 62.99999959916383, 7095.293080971858)",654302085.0934955,0.0
powerlaw,"(0.3797275575537078, 62.999999999999986, 1837.5626934949596)",72138742774524.23,0.0
powerlognorm,"(0.014241564079997736, 0.4903696491816875, 62.937165078559296, 0.46813911710566053)",654302126.9531618,0.0
powernorm,"(3.4087021588884706e-05, 61.400837574899924, 0.7669584971878955)",12103354.37572701,0.0
loguniform,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)",654302686.0,0.0
reciprocal,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)",654302686.0,0.0
semicircular,"(762.3048749831514, 1106.7689813221375)",654302133.8619566,0.0
trapezoid,"(1.0, 1.0, -123.48000000000003, 2167.2)",654302080.1161335,0.0
trapz,"(1.0, 1.0, -123.48000000000003, 2167.2)",654302080.1161335,0.0
triang,"(0.02431775752528348, 58.34864836492284, 1874.8260737732635)",654302077.1513054,0.0
truncexpon,"(1.3167591796640608, 62.99999911306882, 1371.5492014674232)",654302076.4750117,0.0
truncnorm,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)",654302686.0,0.0
uniform,"(63.0, 1806.0)",654302076.9916947,0.0
vonmises,"(0.9001353416832405, 203.48755701581428, 1.8024531860255919e-26)",1.1943741395271188e+54,0.0
wrapcauchy,"(0.5816578044469596, 62.999997589624314, 287.4338611532622)",654302082.6356401,0.0
halfgennorm,"(0.3181853920321524, 62.99999999999753, 3.2253789674486075)",654302067.455532,0.0
argus,"(3.0387649192784144e-05, -1053.446711778607, 2922.520171334482)",654302189.0021062,0.0
gilbrat,"(62.86625345927472, 133.70185999243563)",654302090.8299645,7.946118060093195e-290
